[ 2025-06-30 01:52:40,216 ] 15 root - INFO - Initiate the data ingestion process
[ 2025-06-30 01:52:42,807 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-30 01:52:42,808 ] 65 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-06-30 01:52:42,808 ] 69 root - INFO - Exporting train and test file path.
[ 2025-06-30 01:52:42,874 ] 79 root - INFO - Exported train and test file path.
[ 2025-06-30 01:52:42,875 ] 19 root - INFO - Completed the data ingestion process
[ 2025-06-30 01:52:42,884 ] 24 root - INFO - Initiate the data validation process
[ 2025-06-30 01:52:42,976 ] 30 root - INFO - Required number of columns: 2
[ 2025-06-30 01:52:42,976 ] 31 root - INFO - Actual number of columns: 31
[ 2025-06-30 01:52:42,977 ] 30 root - INFO - Required number of columns: 2
[ 2025-06-30 01:52:42,977 ] 31 root - INFO - Actual number of columns: 31
[ 2025-06-30 01:52:43,153 ] 26 root - INFO - Completed the data validation process
[ 2025-06-30 01:52:43,153 ] 31 root - INFO - Initiate the data transformation process
[ 2025-06-30 01:52:43,154 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-30 01:52:43,154 ] 65 root - INFO - Starting data transformation
[ 2025-06-30 01:52:43,190 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-30 01:52:43,190 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-30 01:52:43,207 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-30 01:52:43,211 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-30 01:52:43,211 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-30 01:52:43,215 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-30 01:52:43,218 ] 34 root - INFO - Completed the data transformation process
